no,좌표,no,좌표,no,좌표
1,"38-30-00N, 123-00-00E",14,"38-37-00N, 126-20-00E",27,"07-00-00N, 128-00-00E"
2,"38-30-00N, 124-30-00E",15,"38-37-00N, 128-30-00E",28,"04-00-00N, 124-00-00E"
3,"38-04-00N, 124-30-00E",16,"39-00-00N, 128-30-00E",29,"04-00-00N, 119-30-00E"
4,"38-04-00N, 124-40-00E",17,"39-00-00N, 132-00-00E",30,"07-30-00N, 119-30-00E"
5,"38-00-00N, 124-55-00E",18,"40-00-00N, 132-00-00E",31,"07-30-00N, 116-00-00E"
6,"37-45-00N, 124-55-00E",19,"40-00-00N, 136-00-00E",32,"12-00-00N, 119-00-00E"
7,"37-36-00N, 125-14-00E",20,"44-00-00N, 140-00-00E",33,"21-00-00N, 119-00-00E"
8,"37-41-00N, 125-30-00E",21,"45-45-00N, 140-00-00E",34,"21-00-00N, 122-30-00E"
9,"37-41-30N, 125-41-00E",22,"45-45-00N, 149-00-00E",35,"28-00-00N, 122-30-00E"
10,"37-44-00N, 125-48-00E",23,"40-00-00N, 149-00-00E",36,"28-00-00N, 124-00-00E"
11,"37-44-00N, 126-11-00E",24,"40-00-00N, 160-00-00E",37,"32-00-00N, 124-00-00E"
12,"37-50-00N, 126-11-00E",25,"24-00-00N, 160-00-00E",38,"32-00-00N, 123-00-00E"
13,"37-50-00N, 126-20-00E",26,"24-00-00N, 144-00-00E",39,"38-30-00N, 123-00-00E"
